id,timestamp,user_name,chinese_name,email,age,income,gender,country,chinese_address,purchase_history,is_active,registration_date,credit_score,phone_number,province_extracted,city_extracted,province_city_match
1,2023-12-12T16:58:09+00:00,FLKFCD,谢英,lxqnabbn@163.com,43,391000.0,男,日本,安徽省厦门北京路180号5单元1586,"{""average_price"":535.69,""category"":""书籍"",""items"":[{""id"":340},{""id"":903},{""id"":588},{""id"":619},{""id"":809}]}",False,2022-03-23,467,482-405-9128,安徽省,厦门,False
2,2024-04-22T17:07:11+00:00,OQYFP,何秀兰,hrsznoze@126.com,65,304000.0,女,澳大利亚,宁夏回族自治区上海北京路13号3单元242,"{""average_price"":68.41,""category"":""食品"",""items"":[{""id"":307}]}",False,2023-01-27,617,828-577-9043,宁夏回族自治区,上海,False
3,2024-03-07T14:48:24+00:00,QDDFWESV,潘秀兰,dvsxgkzk@163.com,24,310000.0,女,俄罗斯,福建省郑州上海路80号3单元353,"{""average_price"":113.95,""category"":""家居"",""items"":[{""id"":381},{""id"":400},{""id"":298}]}",False,2022-10-11,343,156-375-1531,福建省,郑州,False
4,2023-10-08T19:53:07+00:00,nnnfmryp,潘国强,mtooqqen@qq.com,72,576000.0,男,中国,甘肃省合肥康乐路73号4单元128,"{""average_price"":265.42,""category"":""书籍"",""items"":[{""id"":991},{""id"":367},{""id"":527},{""id"":12},{""id"":563}]}",False,2021-10-21,660,443-331-4431,甘肃省,合肥,False
5,2023-02-18T00:15:48+00:00,kkkyyfjk,汪玉梅,jgrrybjp@163.com,39,722000.0,男,日本,澳门特别行政区烟台胜利路54号5单元469,"{""average_price"":141.67000000000002,""category"":""家居"",""items"":[{""id"":595},{""id"":154},{""id"":275}]}",False,2020-04-22,439,194-714-5185,澳门特别行政区,烟台,False
6,2023-11-06T21:37:48+00:00,YJDZGY,董敏,tiqmdkfh@qq.com,48,78000.0,女,英国,四川省惠州工业路142号5单元2313,"{""average_price"":205.03,""category"":""服装"",""items"":[{""id"":681},{""id"":921},{""id"":497},{""id"":235},{""id"":830},{""id"":416},{""id"":988},{""id"":986}]}",False,2021-12-29,502,992-429-5742,四川省,惠州,False
7,2023-11-22T00:31:53+00:00,uftiqsbwxe,黎雨,kspqvsfx@126.com,67,943000.0,男,日本,广西壮族自治区大连康乐路197号2单元1053,"{""average_price"":807.94,""category"":""食品"",""items"":[{""id"":405},{""id"":487},{""id"":114},{""id"":762},{""id"":615},{""id"":542}]}",False,2022-02-02,628,332-997-8363,广西壮族自治区,大连,False
8,2024-07-09T07:48:59+00:00,mdeqo,李建国,artbbfan@qq.com,24,654000.0,男,美国,海南省大连文化路23号6单元1576,"{""average_price"":451.54,""category"":""服装"",""items"":[{""id"":643},{""id"":985},{""id"":169},{""id"":542},{""id"":514},{""id"":295}]}",False,2023-07-28,341,635-238-3471,海南省,大连,False
9,2023-12-26T05:48:00+00:00,misoyawbx,熊欣怡,mqyfggze@outlook.com,58,965000.0,女,巴西,海南省石家庄和谐路107号5单元2466,"{""average_price"":54.55,""category"":""家居"",""items"":[{""id"":233},{""id"":587},{""id"":659}]}",False,2022-04-23,568,842-557-7415,海南省,石家,False
10,2024-03-04T10:09:41+00:00,QLNNUH,马涛,diegvjgk@126.com,18,254000.0,男,日本,湖南省青岛深圳路47号5单元1014,"{""average_price"":608.9499999999999,""category"":""服装"",""items"":[{""id"":60},{""id"":981},{""id"":384},{""id"":330}]}",False,2022-10-03,303,547-310-8472,湖南省,青岛,False
11,2023-07-29T18:26:29+00:00,BLCRX,徐文,zuyfwkzk@outlook.com,82,478000.0,女,英国,海南省南宁人民路134号4单元2378,"{""average_price"":709.93,""category"":""服装"",""items"":[{""id"":734}]}",False,2021-05-07,728,988-277-4570,海南省,南宁,False
12,2023-05-11T20:13:02+00:00,TUKWJK,何桂英,nhizpojn@qq.com,53,367000.0,女,俄罗斯,澳门特别行政区昆明北京路121号3单元729,"{""average_price"":219.88,""category"":""服装"",""items"":[{""id"":495},{""id"":197},{""id"":143},{""id"":959},{""id"":420},{""id"":100}]}",False,2020-11-03,535,622-464-5385,澳门特别行政区,昆明,False
